"i","n","c","p","g","a","pr","s","e"
96718,"Olga SEHNALOVÁ","Česko","Česká strana sociálně demokratická","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",255,265,0,96.2
134243,"Jasenko SELIMOVIC","Švédsko","Liberalerna","Skupina Aliance liberálů a demokratů pro Evropu",198,200,0,99
194658,"Anders SELLSTRÖM","Švédsko","Kristdemokraterna","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",21,26,0,80.8
125049,"Maria Lidia SENRA RODRÍGUEZ","Španělsko","Alternativa galega de esquerda en Europa","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",256,265,0,96.6
124794,"Remo SERNAGIOTTO","Itálie","Conservatori e Riformisti","Skupina Evropských konzervativců a reformistů",259,265,0,97.7
124741,"Ricardo SERRÃO SANTOS","Portugalsko","Partido Socialista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",257,265,0,97
124950,"Jill SEYMOUR","Spojené království","United Kingdom Independence Party","Skupina „Evropa Svobody a Přímé Demokracie“",202,265,24,76.2
23787,"Czesław Adam SIEKIERSKI","Polsko","Polskie Stronnictwo Ludowe","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",246,265,2,92.8
124747,"Pedro SILVA PEREIRA","Portugalsko","Partido Socialista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",262,265,0,98.9
96836,"Peter SIMON","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",255,265,0,96.2
124948,"Siôn SIMON","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",242,265,0,91.3
96932,"Birgit SIPPEL","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",239,265,4,90.2
124927,"Branislav ŠKRIPEK","Slovensko","OBYČAJNÍ ĽUDIA","Skupina Evropských konzervativců a reformistů",251,265,0,94.7
124756,"Davor ŠKRLEC","Chorvatsko","Independent","Skupina Zelených/Evropské svobodné aliance",252,265,0,95.1
28508,"Alyn SMITH","Spojené království","Scottish National Party","Skupina Zelených/Evropské svobodné aliance",217,265,0,81.9
96655,"Monika SMOLKOVÁ","Slovensko","SMER-Sociálna demokracia","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",242,265,2,91.3
39724,"Csaba SÓGOR","Rumunsko","Uniunea Democrată Maghiară din România","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",259,265,0,97.7
124710,"Michaela ŠOJDROVÁ","Česko","Křesťanská a demokratická unie - Československá strana lidová","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",262,265,0,98.9
185974,"Jordi SOLÉ","Španělsko","Esquerra Republicana de Catalunya","Skupina Zelených/Evropské svobodné aliance",117,122,0,95.9
125003,"Igor ŠOLTES","Slovinsko","Lista dr. Igorja Šoltesa","Skupina Zelených/Evropské svobodné aliance",252,265,1,95.1
4282,"Renate SOMMER","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",232,265,17,87.5
28299,"Bogusław SONIK","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",16,16,0,100
124834,"Martin SONNEBORN","Německo","Die PARTEI","Nezařazení poslanci",191,265,4,72.1
124860,"Renato SORU","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",111,265,0,41.9
192298,"Dobromir SOŚNIERZ","Polsko","Wolność","Nezařazení poslanci",50,50,0,100
124810,"Barbara SPINELLI","Itálie","Independent","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",254,265,0,95.8
125064,"Maria SPYRAKI","Řecko","Nea Demokratia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",197,265,0,74.3
4751,"Bart STAES","Belgie","Groen","Skupina Zelených/Evropské svobodné aliance",259,265,0,97.7
124852,"Sergei STANISHEV","Bulharsko","Bulgarian Socialist Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",155,265,0,58.5
124827,"Joachim STARBATTY","Německo","Independent","Skupina Evropských konzervativců a reformistů",256,265,0,96.6
124929,"Ivan ŠTEFANEC","Slovensko","Kresťanskodemokratické hnutie","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",259,265,0,97.7
124702,"Jaromír ŠTĚTINA","Česko","TOP 09 a Starostové","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",260,265,0,98.1
125105,"Helga STEVENS","Belgie","Nieuw-Vlaamse Alliantie","Skupina Evropských konzervativců a reformistů",257,265,2,97
39721,"Theodor Dumitru STOLOJAN","Rumunsko","Partidul Naţional Liberal","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",259,265,0,97.7
125028,"Olaf STUGER","Nizozemsko","Partij voor de Vrijheid","Skupina Evropa národů a svobody",255,265,0,96.2
119434,"Dubravka ŠUICA","Chorvatsko","Hrvatska demokratska zajednica","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",247,265,1,93.2
124928,"Richard SULÍK","Slovensko","Sloboda a Solidarita","Skupina Evropských konzervativců a reformistů",219,265,0,82.6
125103,"Patricija ŠULIN","Slovinsko","Slovenska demokratska stranka","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",258,265,0,97.4
96272,"Pavel SVOBODA","Česko","Křesťanská a demokratická unie - Československá strana lidová","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",250,265,1,94.3
96920,"Kay SWINBURNE","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",205,265,0,77.4
124689,"Neoklis SYLIKIOTIS","Kypr","Progressive Party of Working People - Left - New Forces","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",259,265,0,97.7
125072,"Eleftherios SYNADINOS","Řecko","Patriotic Radical Union (PAT.RI.E.)","Nezařazení poslanci",256,265,0,96.6
23821,"József SZÁJER","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",258,265,0,97.4
124703,"Tibor SZANYI","Maďarsko","Magyar Szocialista Párt","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",255,265,0,96.2
124890,"Adam SZEJNFELD","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",263,265,0,99.2
2187,"Antonio TAJANI","Itálie","Forza Italia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",251,265,2,94.7
124813,"Dario TAMBURRANO","Itálie","Movimento 5 Stelle","Skupina „Evropa Svobody a Přímé Demokracie“",238,265,5,89.8
96847,"Claudiu Ciprian TĂNĂSESCU","Rumunsko","Partidul Social Democrat","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",244,265,0,92.1
125020,"Paul TANG","Nizozemsko","Partij van de Arbeid","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",236,265,0,89.1
4521,"Charles TANNOCK","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",256,265,0,96.6
124793,"Claudia ȚAPARDEL","Rumunsko","Partidul Social Democrat","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",262,265,0,98.9
29579,"Marc TARABELLA","Belgie","Parti Socialiste","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",257,265,0,97
97136,"Indrek TARAND","Estonsko","Sõltumatu","Skupina Zelených/Evropské svobodné aliance",254,265,0,95.8
102931,"Keith TAYLOR","Spojené království","Green Party","Skupina Zelených/Evropské svobodné aliance",220,265,28,83
124706,"Pavel TELIČKA","Česko","Hnutí Hlas","Skupina Aliance liberálů a demokratů pro Evropu",265,265,0,100
124932,"Josep-Maria TERRICABRAS","Španělsko","Esquerra Republicana de Catalunya","Skupina Zelených/Evropské svobodné aliance",247,265,0,93.2
25704,"Eleni THEOCHAROUS","Kypr","Independent","Skupina Evropských konzervativců a reformistů",202,265,11,76.2
114279,"Isabelle THOMAS","Francie","Génération.s, le mouvement","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",249,265,0,94
96776,"Róża Gräfin von THUN UND HOHENSTEIN","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",236,265,10,89.1
28340,"Patrizia TOIA","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",252,265,0,95.1
39726,"László TŐKÉS","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",235,265,0,88.7
185340,"Ivica TOLIĆ","Chorvatsko","Hrvatska demokratska zajednica","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",106,136,16,77.9
96697,"Valdemar TOMAŠEVSKI","Litva","Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga","Skupina Evropských konzervativců a reformistů",242,265,0,91.3
119431,"Ruža TOMAŠIĆ","Chorvatsko","Hrvatska konzervativna stranka","Skupina Evropských konzervativců a reformistů",253,265,0,95.5
125104,"Romana TOMC","Slovinsko","Slovenska demokratska stranka","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",251,265,0,94.7
124700,"Yana TOOM","Estonsko","Eesti Keskerakond","Skupina Aliance liberálů a demokratů pro Evropu",236,265,8,89.1
131749,"Estefanía TORRES MARTÍNEZ","Španělsko","PODEMOS","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",168,226,31,74.3
114268,"Nils TORVALDS","Finsko","Svenska folkpartiet","Skupina Aliance liberálů a demokratů pro Evropu",234,265,0,88.3
96713,"Evžen TOŠENOVSKÝ","Česko","Občanská demokratická strana","Skupina Evropských konzervativců a reformistů",253,265,0,95.5
124829,"Ulrike TREBESIUS","Německo","Independent","Skupina Evropských konzervativců a reformistů",244,265,0,92.1
97203,"Ramon TREMOSA i BALCELLS","Španělsko","Partit Demòcrata Europeu i Català","Skupina Aliance liberálů a demokratů pro Evropu",236,265,3,89.1
124758,"Mylène TROSZCZYNSKI","Francie","Rassemblement national","Skupina Evropa národů a svobody",254,265,0,95.8
28240,"Helga TRÜPEL","Německo","Bündnis 90/Die Grünen","Skupina Zelených/Evropské svobodné aliance",231,265,10,87.2
131750,"Mihai ŢURCANU","Rumunsko","Partidul Naţional Liberal","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",208,230,0,90.4
23791,"Kazimierz Michał UJAZDOWSKI","Polsko","Independent","Nezařazení poslanci",257,265,0,97
124705,"István UJHELYI","Maďarsko","Magyar Szocialista Párt","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",196,265,0,74
96672,"Marita ULVSKOG","Švédsko","Arbetarepartiet- Socialdemokraterna","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",248,265,0,93.6
96835,"Traian UNGUREANU","Rumunsko","Partidul Naţional Liberal","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",240,265,0,90.6
131507,"Miguel URBÁN CRESPO","Španělsko","PODEMOS","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",188,230,0,81.7
124972,"Ernest URTASUN","Španělsko","Iniciativa per Catalunya Verds","Skupina Zelených/Evropské svobodné aliance",240,265,0,90.6
38601,"Vladimir URUTCHEV","Bulharsko","Citizens for European Development of Bulgaria","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",259,265,0,97.7
96698,"Viktor USPASKICH","Litva","Darbo partija","Skupina Aliance liberálů a demokratů pro Evropu",197,265,0,74.3
28617,"Inese VAIDERE","Lotyšsko","Partija ""VIENOTĪBA""","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",220,250,0,88
97019,"Ivo VAJGL","Slovinsko","DeSUS - Demokratična Stranka Upokojencev Slovenije","Skupina Aliance liberálů a demokratů pro Evropu",256,265,0,96.6
125032,"Ramón Luis VALCÁRCEL SISO","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",256,265,0,96.6
37324,"Adina-Ioana VĂLEAN","Rumunsko","Partidul Naţional Liberal","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",236,265,4,89.1
4334,"Elena VALENCIANO","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",227,265,2,85.7
124993,"Bodil VALERO","Švédsko","Miljöpartiet de gröna","Skupina Zelených/Evropské svobodné aliance",255,265,0,96.2
124778,"Marco VALLI","Itálie","Independent","Skupina „Evropa Svobody a Přímé Demokracie“",260,265,0,98.1
125050,"Ángela VALLINA","Španělsko","Izquierda Xunida","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",195,265,16,73.6
124934,"Monika VANA","Rakousko","Die Grünen - Die Grüne Alternative","Skupina Zelených/Evropské svobodné aliance",246,265,0,92.8
117491,"Anneleen VAN BOSSUYT","Belgie","Nieuw-Vlaamse Alliantie","Skupina Evropských konzervativců a reformistů",214,240,0,89.2
5729,"Kathleen VAN BREMPT","Belgie","Socialistische Partij.Anders","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",243,265,0,91.7
129164,"Tom VANDENKENDELAERE","Belgie","Christen-Democratisch & Vlaams","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",230,250,1,92
4513,"Geoffrey VAN ORDEN","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",211,265,0,79.6
96918,"Derek VAUGHAN","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",262,265,0,98.9
130100,"Hilde VAUTMANS","Belgie","Open Vlaamse Liberalen en Democraten","Skupina Aliance liberálů a demokratů pro Evropu",228,240,7,95
193269,"Mirja VEHKAPERÄ","Finsko","Suomen Keskusta","Skupina Aliance liberálů a demokratů pro Evropu",34,39,0,87.2
96858,"Marie-Christine VERGIAT","Francie","Front de Gauche","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",237,265,4,89.4
96756,"Sabine VERHEYEN","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",246,265,10,92.8
97058,"Guy VERHOFSTADT","Belgie","Open Vlaamse Liberalen en Democraten","Skupina Aliance liberálů a demokratů pro Evropu",190,265,1,71.7
125100,"Miguel VIEGAS","Portugalsko","Partido Comunista Português","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",254,265,0,95.8
188721,"Marie-Pierre VIEU","Francie","Front de Gauche","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",68,90,0,75.6
125001,"Harald VILIMSKY","Rakousko","Freiheitliche Partei Österreichs","Skupina Evropa národů a svobody",256,265,0,96.6
124791,"Daniele VIOTTI","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",255,265,0,96.2
124726,"Henna VIRKKUNEN","Finsko","Kansallinen Kokoomus","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",247,265,0,93.2
124875,"Anders Primdahl VISTISEN","Dánsko","Dansk Folkeparti","Skupina Evropských konzervativců a reformistů",235,265,0,88.7
124832,"Udo VOIGT","Německo","Nationaldemokratische Partei Deutschlands","Nezařazení poslanci",248,265,0,93.6
96761,"Axel VOSS","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",250,265,0,94.3
125065,"Elissavet VOZEMBERG-VRIONIDI","Řecko","Nea Demokratia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",203,265,16,76.6
190464,"Thomas WAITZ","Rakousko","Die Grünen - Die Grüne Alternative","Skupina Zelených/Evropské svobodné aliance",71,74,0,95.9
96774,"Jarosław WAŁĘSA","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",247,265,4,93.2
124963,"Julie WARD","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",245,265,1,92.5
28229,"Manfred WEBER","Německo","Christlich-Soziale Union in Bayern e.V.","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",196,265,2,74
39713,"Renate WEBER","Rumunsko","ALDE Romania","Skupina Aliance liberálů a demokratů pro Evropu",231,265,11,87.2
111014,"Josef WEIDENHOLZER","Rakousko","Sozialdemokratische Partei Österreichs","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",264,265,0,99.6
124826,"Martina WERNER","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",249,265,0,94
96839,"Kerstin WESTPHAL","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",207,265,17,78.1
2323,"Rainer WIELAND","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",251,265,3,94.7
183022,"Lieve WIERINCK","Belgie","Open Vlaamse Liberalen en Democraten","Skupina Aliance liberálů a demokratů pro Evropu",156,161,0,96.9
96677,"Cecilia WIKSTRÖM","Švédsko","Liberalerna","Skupina Aliance liberálů a demokratů pro Evropu",246,265,1,92.8
124995,"Kristina WINBERG","Švédsko","Sverigedemokraterna","Skupina Evropských konzervativců a reformistů",249,265,0,94
96764,"Hermann WINKLER","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",229,265,18,86.4
39725,"Iuliu WINKLER","Rumunsko","Uniunea Democrată Maghiară din România","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",232,265,7,87.5
195912,"Babette WINTER","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",8,10,0,80
124877,"Jadwiga WIŚNIEWSKA","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",254,265,0,95.8
185619,"Tiemo WÖLKEN","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",131,132,0,99.2
124966,"Steven WOOLFE","Spojené království","Independent","Nezařazení poslanci",222,265,7,83.8
23894,"Anna ZÁBORSKÁ","Slovensko","Kresťanskodemokratické hnutie","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",249,265,5,94
125067,"Theodoros ZAGORAKIS","Řecko","Nea Demokratia","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",188,265,4,70.9
23712,"Jan ZAHRADIL","Česko","Občanská demokratická strana","Skupina Evropských konzervativců a reformistů",238,265,0,89.8
96656,"Boris ZALA","Slovensko","SMER-Sociálna demokracia","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",206,265,1,77.7
188906,"Francis ZAMMIT DIMECH","Malta","Partit Nazzjonalista","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",83,90,0,92.2
124780,"Marco ZANNI","Itálie","Lega Nord","Skupina Evropa národů a svobody",240,265,0,90.6
124800,"Flavio ZANONATO","Itálie","Articolo UNO – Movimento Democratico e Progressista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",259,265,0,97.7
125090,"Sotirios ZARIANOPOULOS","Řecko","Communist Party of Greece","Nezařazení poslanci",214,265,0,80.8
124713,"Tomáš ZDECHOVSKÝ","Česko","Křesťanská a demokratická unie - Československá strana lidová","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",259,265,0,97.7
124893,"Bogdan Andrzej ZDROJEWSKI","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",263,265,0,99.2
96762,"Joachim ZELLER","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",243,265,2,91.7
96784,"Janusz ZEMKE","Polsko","Sojusz Lewicy Demokratycznej - Unia Pracy","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",265,265,0,100
103246,"Auke ZIJLSTRA","Nizozemsko","Partij voor de Vrijheid","Skupina Evropa národů a svobody",197,206,0,95.6
28615,"Roberts ZĪLE","Lotyšsko","Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""","Skupina Evropských konzervativců a reformistů",205,265,8,77.4
28248,"Gabriele ZIMMER","Německo","DIE LINKE.","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",237,265,8,89.4
124901,"Jana ŽITŇANSKÁ","Slovensko","NOVA","Skupina Evropských konzervativců a reformistů",223,265,28,84.2
124884,"Kosma ZŁOTOWSKI","Polsko","Prawo i Sprawiedliwość","Skupina Evropských konzervativců a reformistů",254,265,2,95.8
191377,"Maria Gabriela ZOANĂ","Rumunsko","Partidul Social Democrat","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",56,60,0,93.3
131051,"Damiano ZOFFOLI","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",228,231,0,98.7
124902,"Stanisław ŻÓŁTEK","Polsko","Kongres Nowej Prawicy","Skupina Evropa národů a svobody",182,265,24,68.7
124739,"Carlos ZORRINHO","Portugalsko","Partido Socialista","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",262,265,1,98.9
185341,"Željana ZOVKO","Chorvatsko","Hrvatska demokratska zajednica","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",121,136,0,89
125237,"Marco ZULLO","Itálie","Movimento 5 Stelle","Skupina „Evropa Svobody a Přímé Demokracie“",250,265,0,94.3
96933,"Milan ZVER","Slovinsko","Slovenska demokratska stranka","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",252,265,0,95.1
28301,"Tadeusz ZWIEFKA","Polsko","Platforma Obywatelska","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",243,265,6,91.7
