"i","n","c","p","g","a","pr","s","e"
35135,"Daniel DALTON","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",217,240,0,90.4
183338,"Jakop DALUNDE","Švédsko","Miljöpartiet de gröna","Skupina Zelených/Evropské svobodné aliance",144,154,0,93.5
124835,"Rosa D'AMATO","Itálie","Movimento 5 Stelle","Skupina „Evropa Svobody a Přímé Demokracie“",246,265,0,92.8
124952,"Seb DANCE","Spojené království","Labour Party","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",254,265,0,95.8
96747,"Arnaud DANJEAN","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",224,265,0,84.5
124821,"Nicola DANTI","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",262,265,0,98.9
97296,"Michel DANTIN","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",218,265,0,82.3
96958,"William (The Earl of) DARTMOUTH","Spojené království","Independent","Skupina „Evropa Svobody a Přímé Demokracie“",167,265,6,63
72775,"Rachida DATI","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",174,265,18,65.7
96891,"Paolo DE CASTRO","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",233,265,0,87.9
124732,"Angélique DELAHAYE","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",247,265,0,93.2
124714,"Andor DELI","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",262,265,0,98.9
96868,"Karima DELLI","Francie","Europe Écologie","Skupina Zelených/Evropské svobodné aliance",255,265,0,96.2
124776,"Mady DELVAUX","Lucembursko","Parti ouvrier socialiste luxembourgeois","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",244,265,0,92.1
117477,"Mark DEMESMAEKER","Belgie","Nieuw-Vlaamse Alliantie","Skupina Evropských konzervativců a reformistů",251,265,4,94.7
124803,"Isabella DE MONTE","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",260,265,0,98.1
1473,"Gérard DEPREZ","Belgie","Mouvement Réformateur","Skupina Aliance liberálů a demokratů pro Evropu",251,265,14,94.7
28228,"Albert DESS","Německo","Christlich-Soziale Union in Bayern e.V.","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",264,265,0,99.6
190799,"Michael DETJEN","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",62,64,0,96.9
96826,"Tamás DEUTSCH","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",160,265,0,60.4
4556,"Nirj DEVA","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",178,265,0,67.2
124805,"Mircea DIACONU","Rumunsko","Independent","Skupina Aliance liberálů a demokratů pro Evropu",220,265,0,83
28397,"Agustín DÍAZ DE MERA GARCÍA CONSUEGRA","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",230,265,4,86.8
190774,"Geoffroy DIDIER","Francie","Les Républicains","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",61,68,0,89.7
124709,"Martina DLABAJOVÁ","Česko","ANO 2011","Skupina Aliance liberálů a demokratů pro Evropu",246,265,0,92.8
96951,"Diane DODDS","Spojené království","Democratic Unionist Party","Nezařazení poslanci",236,265,0,89.1
124878,"Jørn DOHRMANN","Dánsko","Dansk Folkeparti","Skupina Evropských konzervativců a reformistů",238,265,8,89.8
96787,"Herbert DORFMANN","Itálie","Südtiroler Volkspartei","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",261,265,0,98.5
124750,"Mireille D'ORNANO","Francie","Les Patriotes","Skupina „Evropa Svobody a Přímé Demokracie“",256,265,4,96.6
124786,"Damian DRĂGHICI","Rumunsko","Independent","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",148,265,34,55.8
124693,"Pascal DURAND","Francie","Europe Écologie","Skupina Zelených/Evropské svobodné aliance",261,265,0,98.5
124873,"Angel DZHAMBAZKI","Bulharsko","VMRO","Skupina Evropských konzervativců a reformistů",253,265,0,95.5
124863,"Stefan ECK","Německo","Independent","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",253,265,0,95.5
28226,"Christian EHLER","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",202,265,0,76.2
96725,"Bas EICKHOUT","Nizozemsko","GroenLinks","Skupina Zelených/Evropské svobodné aliance",234,265,3,88.3
188445,"André ELISSEN","Nizozemsko","Partij voor de Vrijheid","Skupina Evropa národů a svobody",87,93,0,93.5
96876,"Frank ENGEL","Lucembursko","Parti chrétien social luxembourgeois","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",232,265,1,87.5
128588,"Linnéa ENGSTRÖM","Švédsko","Miljöpartiet de gröna","Skupina Zelených/Evropské svobodné aliance",175,254,30,68.9
125071,"Georgios EPITIDEIOS","Řecko","Popular Association – Golden Dawn","Nezařazení poslanci",263,265,0,99.2
124711,"Norbert ERDŐS","Maďarsko","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",249,265,0,94
96852,"Cornelia ERNST","Německo","DIE LINKE.","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",226,265,0,85.3
96842,"Ismail ERTUG","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",247,265,0,93.2
96811,"Rosa ESTARÀS FERRAGUT","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",254,265,0,95.8
124951,"Bill ETHERIDGE","Spojené království","The Brexit Party","Skupina „Evropa Svobody a Přímé Demokracie“",208,265,0,78.5
4550,"Jill EVANS","Spojené království","Plaid Cymru - Party of Wales","Skupina Zelených/Evropské svobodné aliance",244,265,0,92.1
124779,"Eleonora EVI","Itálie","Movimento 5 Stelle","Skupina „Evropa Svobody a Přímé Demokracie“",256,265,0,96.6
96911,"Tanja FAJON","Slovinsko","Socialni demokrati","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",221,265,0,83.4
4525,"Nigel FARAGE","Spojené království","The Brexit Party","Skupina „Evropa Svobody a Přímé Demokracie“",169,265,0,63.8
125101,"José Inácio FARIA","Portugalsko","Partido da Terra","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",249,265,4,94
124989,"Fredrick FEDERLEY","Švédsko","Centerpartiet","Skupina Aliance liberálů a demokratů pro Evropu",244,265,0,92.1
1917,"Markus FERBER","Německo","Christlich-Soziale Union in Bayern e.V.","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",243,265,0,91.7
96899,"José Manuel FERNANDES","Portugalsko","Partido Social Democrata","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",260,265,0,98.1
125046,"Jonás FERNÁNDEZ","Španělsko","Partido Socialista Obrero Español","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",257,265,0,97
192634,"Giuseppe FERRANDINO","Itálie","Partito Democratico","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",48,49,0,98
124833,"Laura FERRARA","Itálie","Movimento 5 Stelle","Skupina „Evropa Svobody a Přímé Demokracie“",245,265,0,92.5
96706,"João FERREIRA","Portugalsko","Partido Comunista Português","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",221,265,0,83.4
124941,"Raymond FINCH","Spojené království","United Kingdom Independence Party","Skupina „Evropa Svobody a Přímé Demokracie“",200,265,12,75.5
96729,"Santiago FISAS AYXELÀ","Španělsko","Partido Popular","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",217,265,12,81.9
4465,"Raffaele FITTO","Itálie","Conservatori e Riformisti","Skupina Evropských konzervativců a reformistů",192,265,1,72.5
28126,"Christofer FJELLNER","Švédsko","Moderaterna","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",188,265,0,70.9
188623,"John FLACK","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",85,90,0,94.4
124985,"Luke Ming FLANAGAN","Irsko","Independent","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",241,265,0,90.9
96840,"Knut FLECKENSTEIN","Německo","Sozialdemokratische Partei Deutschlands","Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu",248,265,0,93.6
1038,"Karl-Heinz FLORENZ","Německo","Christlich Demokratische Union Deutschlands","Poslanecký klub Evropské lidové strany (Křesťanských demokratů)",226,265,0,85.3
125193,"Eleonora FORENZA","Itálie","Lista Tsipras-L'Altra Europa","Skupina konfederace Evropské sjednocené levice a Severské zelené levice",235,265,0,88.7
4553,"Jacqueline FOSTER","Spojené království","Conservative Party","Skupina Evropských konzervativců a reformistů",238,265,0,89.8
